Timestamp,Action,Path,Details,Error
2026-02-09T16:02:11.432931,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T16:02:11.067225,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:02:10.888167,read,app_config/ads,Get document (Found),
2026-02-09T16:02:10.711966,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:02:10.706468,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:00:37.815093,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:00:37.814142,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:00:37.641536,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:00:37.637915,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:00:37.187187,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T16:00:37.186694,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T16:00:37.182868,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:00:36.979280,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T16:00:36.800858,read,managers/s7tgpcssOaJLYtFJrrnJ,Get document (Found),
2026-02-09T16:00:36.650659,read,AggregateQuery,Count Query: 1,
2026-02-09T16:00:36.513980,read,referral_stats/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:00:36.185387,read,users/VxNSBbUk5DQtY0Tyi5KBshcI9T53,Get document (Found),
2026-02-09T16:00:35.743153,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:00:35.721705,read,AggregateQuery,Count Query: 1,
2026-02-09T16:00:35.715156,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:00:35.531617,read,Query,Query Get: 1 docs,
2026-02-09T16:00:35.526888,read,referral_stats/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:00:35.158078,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:00:35.155524,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:00:33.084707,read,app_config/ads,Get document (Found),
