Timestamp,Action,Path,Details,Error
2026-02-09T16:10:26.051436,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:10:26.050662,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:10:25.820638,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T16:10:25.820617,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T16:10:25.820402,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:10:25.651937,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T16:10:25.547485,read,app_config/ads,Get document (Found),
2026-02-09T16:10:25.417774,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:10:25.364404,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:09:50.443309,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:09:50.442583,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:09:50.199990,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T16:09:50.199955,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T16:09:50.199738,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:09:50.024683,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T16:09:49.834854,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:09:49.614791,write,point_logs/PLPIS0CEwWUw0No6YAco,Transaction Set,
2026-02-09T16:09:49.612828,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T16:09:49.612229,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:09:49.599764,read,app_config/ads,Get document (Found),
2026-02-09T16:09:49.392909,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:09:49.387624,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:09:36.196057,read,app_config/legal,Get document (Found),
2026-02-09T16:09:29.922276,read,app_config/legal,Get document (Found),
2026-02-09T16:02:11.843041,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:02:11.842159,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:02:11.608166,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T16:02:11.608145,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T16:02:11.607862,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
